单品编码,首销日,末销日,在架天数,有销售天数,总销量,总销售额,总毛利,日均销量_在架,日均销量_有售,日销量标准差,非零日均,非零日标准差,单日最大销量,平均批发价,平均售价,损耗率,单位毛利,交易笔数,单品名称,分类名称,动销率,变异系数CV,非零CV,ADI,CV2,稳定性,毛利率,笔均重量,周CV,TOPSIS得分,梯队,排名,需求形态,销量份额,象限,毛利份额,贡献错位
102900005116714,2020-07-01,2023-06-30,1095,1076,27537.228000000003,269874.2472,71792.41274992285,25.148153424657536,25.59221933085502,15.759604313951362,25.59221933085502,15.759604313951362,152.132,6.846552044609665,9.800341820897875,0.0926,2.607103835938855,58905,西兰花,花菜类,0.982648401826484,0.6266704376989848,0.6157967040768106,1.0176579925650557,0.3792055807518631,0.6147526732056158,0.2660217249136725,0.4674854087089382,0.4271544608446431,0.8061164778378007,热销,1,Smooth,0.05846844169217162,引流品(量大但利薄),0.07150972220402992,0.013041280511858294
102900005116899,2020-07-08,2023-06-30,1088,1057,27149.440000000002,211652.10129999998,53583.458901100996,24.95352941176471,25.685373699148535,20.213158031383767,25.685373699148535,20.213158031383767,157.132,5.820842005676442,7.795818304171282,0.0554,1.9736487714332593,39285,净藕(1),水生根茎类,0.9715073529411765,0.8100320278482921,0.7869520711724677,1.0293282876064334,0.6192935623226367,0.5524764118062417,0.25316762069444665,0.6910892198039965,0.6367616791507766,0.7806026882103504,热销,2,Erratic,0.05764507050655614,引流品(量大但利薄),0.05337246811993938,-0.00427260238661676
102900011034026,2022-06-29,2023-06-30,367,337,5821.571,47414.9774,16059.316706613668,15.86259128065395,17.274691394658753,10.213123881669919,17.274691394658753,10.213123881669919,47.649,5.211483679525222,8.144704822804703,0.0943,2.758588138255751,12369,枝江青梗散花,花菜类,0.9182561307901907,0.6438496523658065,0.5912188905920348,1.089020771513353,0.34953977659287644,0.6083281391098104,0.33869712878137254,0.4706581777023203,0.5063835265501079,0.7631983879293515,热销,3,Smooth,0.012360655348836753,明星品(量大且利厚),0.015996081375294274,0.003635426026457521
102900011016701,2020-09-12,2023-06-30,1022,858,28164.331000000002,205113.6991,52706.39154962884,27.558053816046968,32.825560606060606,23.12636749136789,32.825560606060606,23.12636749136789,249.974,5.359230769230768,7.282747071109198,0.057,1.8713880173340114,69945,芜湖青椒(1),辣椒类,0.8395303326810176,0.8391872534156051,0.7045231540416724,1.191142191142191,0.4963528745808261,0.5437184267903513,0.2569618303452889,0.40266396454356995,0.4753530699679554,0.7628923004670604,热销,4,Erratic,0.05979993864569526,引流品(量大但利薄),0.052498854317928445,-0.007301084327766813
102900011031100,2021-12-20,2023-06-30,558,488,10833.0,54979.4,24435.941901291815,19.413978494623656,22.19877049180328,14.965649872400306,22.19877049180328,14.965649872400306,210.0,3.180983606557377,5.075177697775317,0.0943,2.2556948122673144,10848,小米椒(份),辣椒类,0.8745519713261649,0.7708698078832614,0.6741657101201282,1.1434426229508197,0.4544994047017767,0.5646942511235821,0.4444563218458516,0.9986172566371682,0.460437274749839,0.7579649777743359,热销,5,Smooth,0.023001176038898872,明星品(量大且利厚),0.02433972268409478,0.0013385466451959066
102900005116257,2020-07-01,2023-06-30,1095,1022,13602.001,117729.4239,35111.01268952411,12.421918721461187,13.309198630136986,9.06883144735024,13.309198630136986,9.06883144735024,109.43,5.647123287671233,8.655301811843712,0.060700000000000004,2.5813123149692543,27455,紫茄子(2),茄类,0.9333333333333333,0.7300668802221462,0.6813957548740031,1.0714285714285714,0.46430017476031243,0.5780123366511686,0.29823481272912367,0.49542892005099254,0.49715053510679846,0.7486667279201621,热销,6,Smooth,0.02888045965866136,引流品(量大但利薄),0.034972759203342654,0.0060922995446812955
106949711300259,2022-01-16,2023-06-30,531,429,15596.0,58640.899999999994,20728.90602712205,29.370998116760827,36.354312354312356,33.09566085720459,36.354312354312356,33.09566085720459,281.0,2.3645454545454547,3.7599961528597072,0.0045000000000000005,1.3291168265659177,15591,金针菇(盒),食用菌,0.807909604519774,1.126814305923034,0.9103641002655021,1.2377622377622377,0.8287627950522171,0.4701867940304274,0.3534888793849012,1.0003206978384966,0.7062865236250737,0.7277427669874456,热销,7,Erratic,0.03311421965315857,明星品(量大且利厚),0.020647283672668215,-0.012466935980490354
102900011000175,2020-08-04,2020-08-13,10,10,91.27199999999999,753.452,201.81572770660637,9.127199999999998,9.127199999999998,1.2417568915765183,9.127199999999998,1.2417568915765183,10.315,4.8149999999999995,8.255017968270664,0.20379999999999998,2.2111461095035323,253,快菜,花叶类,1.0,0.13605014589102007,0.13605014589102007,1.0,0.018509642196967848,0.8802428340130055,0.26785479062582135,0.3607588932806324,,0.7205644331267635,热销,8,Smooth,0.00019379334804969791,问题品(量小且利薄),0.00020102105601290123,7.22770796320331e-06
106930274620090,2022-12-25,2023-02-18,56,51,708.0,2926.7,792.8200000000002,12.642857142857142,13.882352941176471,7.726958156541368,13.882352941176471,7.726958156541368,40.0,2.985294117647059,4.133757062146892,0.0,1.1198022598870059,709,海鲜菇(袋)(2),食用菌,0.9107142857142857,0.6111718315908427,0.556602918055946,1.0980392156862746,0.3098068083883941,0.6206662631462578,0.2708921310691223,0.998589562764457,0.27671123782076934,0.7194193013334683,热销,9,Smooth,0.0015032615744060187,引流品(量大但利薄),0.0007896981837800115,-0.0007135633906260072
102900011030059,2021-12-17,2023-06-30,561,400,14325.0,63994.9,21561.224389974603,25.53475935828877,35.8125,23.775207569808273,35.8125,23.775207569808273,151.0,2.618475,4.467357766143107,0.0943,1.5051465542739688,14328,云南生菜(份),花叶类,0.7130124777183601,0.9310918985453711,0.663880141565327,1.4025,0.44073684236479865,0.5178417457777476,0.33692097948390576,0.9997906197654941,0.6423606975418483,0.7179102350148547,热销,10,Intermittent,0.030415567871986186,明星品(量大且利厚),0.021476324690139284,-0.008939243181846902
